type, source, target, ability, aid, hitType, amount, notes, timestamp
heal, 3, 3, Leech, 143924, 1, 0, , 1097556
heal, 11, 3, Beacon of Light, 53652, 1, 0, , 1097556
removebuff, 3, 3, Death Note, 121125, , , , 1098483
heal, 3, 14, Zen Sphere, 124081, 1, 0, , 1098990
heal, 3, 14, Zen Sphere, 124081, 2, 0, ms, 1098990
heal, 11, 3, Beacon of Light, 53652, 1, 0, , 1099037
heal, 3, 3, Leech, 143924, 1, 0, , 1099087
heal, 11, 3, Beacon of Light, 53652, 1, 0, , 1100577
cast, 3, 57, Provoke, 115546, , , , 1100840
applydebuff, 3, 57, Provoke, 116189, , , , 1100840
heal, 3, 14, Zen Sphere, 124081, 2, 0, , 1100983
heal, 3, 3, Zen Sphere: Detonate, 124101, 1, 0, , 1100984
removebuff, 3, 14, Zen Sphere, 124081, , , , 1100985
heal, 3, 16, Zen Sphere: Detonate, 124101, 2, 0, , 1100987
heal, 3, 16, Zen Sphere: Detonate, 124101, 1, 0, ms, 1100987
heal, 3, 14, Zen Sphere: Detonate, 124101, 2, 0, , 1100987
heal, 3, 52, Zen Sphere: Detonate, 124101, 2, 0, , 1100987
heal, 3, 8, Zen Sphere: Detonate, 124101, 1, 0, , 1100987
heal, 3, 8, Zen Sphere: Detonate, 124101, 2, 0, ms, 1100987
heal, 3, 8, Zen Sphere: Detonate, 124101, 1, 0, ms, 1100987
heal, 3, 15, Zen Sphere: Detonate, 124101, 1, 0, , 1100987
applybuff, 3, 3, Archmage's Incandescence, 177161, , , , 1101009
cast, 57, 3, Melee, 1, , , , 1101097
applydebuff, 3, 3, Light Stagger, 124275, , , , 1101103
absorbed, 3, 3, Stance of the Sturdy Ox, 115069, , 76516, , 1101105
absorbed, 3, 3, Guard, 115295, , 33618, , 1101105
removebuff, 3, 3, Guard, 115295, , , , 1101105
damage, 57, 3, Melee, 1, 1, 29384, 110134, 1101107
heal, 3, 3, Leech, 143924, 1, 1654, , 1101107
heal, 11, 3, Beacon of Light, 53652, 1, 15614, , 1101108
removebuff, 3, 3, Tiger Strikes, 120273, , , , 1101440
energize, 3, 3, Keg Smash, 127796, , 2, , 1101586
cast, 3, , Keg Smash, 121253, , , , 1101589
damage, 3, 57, Keg Smash, 121253, 4, 15600, 6686, 1101810
cast, 56, 3, Melee, 1, , , , 1101810
damage, 3, 56, Keg Smash, 121253, 1, 21547, 0, 1101811
absorbed, 3, 3, Stance of the Sturdy Ox, 115069, , 63014, , 1101811
damage, 56, 3, Melee, 1, 1, 51884, 63014, 1101811
removedebuff, 3, 3, Light Stagger, 124275, , , , 1102109
applydebuff, 3, 3, Moderate Stagger, 124274, , , , 1102111
damage, 3, 3, Stagger, 124255, 1, 13953, 0, 1102113
heal, 11, 3, Beacon of Light, 53652, 1, 1322, , 1102136
heal, 11, 3, Beacon of Light, 53652, 1, 396, , 1102136
heal, 3, 3, Leech, 143924, 1, 636, , 1102375
heal, 11, 3, Beacon of Light, 53652, 1, 16500, , 1102489
refreshbuff, 3, 3, Tiger Power, 125359, , , , 1102573
cast, 3, 57, Tiger Palm, 100787, , , , 1102573
damage, 3, 57, Tiger Palm, 100787, 2, 13449, 0, 1102574
applybuff, 12, 3, Prayer of Mending, 41635, , , , 1102751
cast, 3, 57, Melee, 1, , , , 1102937
damage, 3, 57, Melee, 1, 1, 6196, 0, 1102937
removebuff, 12, 3, Prayer of Mending, 41635, , , , 1103133
damage, 3, 3, Stagger, 124255, 1, 13953, 0, 1103135
heal, 12, 3, Prayer of Mending, 33110, 2, 10665, , 1103135
applybuff, 12, 3, Divine Aegis, 47753, , , , 1103162
cast, 56, 3, Melee, 1, , , , 1103272
absorbed, 3, 3, Stance of the Sturdy Ox, 115069, , 76594, , 1103273
absorbed, 12, 3, Divine Aegis, 47753, , 15342, , 1103273
removebuff, 12, 3, Divine Aegis, 47753, , , , 1103273
damage, 56, 3, Melee, 1, 1, 47724, 91936, 1103301
heal, 3, 3, Leech, 143924, 1, 337, , 1103535
applybuff, 3, 3, Zen Sphere, 124081, , , , 1103634
cast, 3, 3, Zen Sphere, 124081, , , , 1103636
heal, 11, 3, Beacon of Light, 53652, 1, 661, , 1103660
heal, 11, 3, Beacon of Light, 53652, 1, 16499, , 1103726
heal, 11, 3, Beacon of Light, 53652, 1, 4950, , 1103728
heal, 11, 3, Beacon of Light, 53652, 1, 9899, , 1103728
removedebuff, 3, 57, Provoke, 116189, , , , 1103857
damage, 3, 3, Stagger, 124255, 1, 18822, 0, 1104118
heal, 11, 3, Holy Prism, 114852, 1, 32999, , 1104155
heal, 11, 3, Beacon of Light, 53652, 1, 9899, , 1104170
heal, 11, 3, Beacon of Light, 53652, 1, 2969, , 1104171
